TASK_RUN,SEASON_ID,GAMEDAY,TS_TASK_UTC
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CHECK,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
CALCULATE,S2,27ème journée,2026-03-17 21:30:00
UPDATEGAMES,S2,Demi-finale Aller,2026-05-24 08:05:00
UPDATEGAMES,S2,11ème journée,2025-11-03 08:05:00
CALCULATE,S2,9ème journée,2025-11-01 21:00:00
CHECK,S2,9ème journée,2025-11-01 19:00:00
CHECK,S2,9ème journée,2025-10-31 19:50:00
CHECK,S2,9ème journée,2025-10-31 19:30:00
INIT,S2,10ème journée,2025-10-31 19:15:00
CHECK,S2,9ème journée,2025-10-31 19:00:00
UPDATEGAMES,S2,12ème journée,2025-10-31 08:04:00
UPDATEGAMES,S2,14ème journée,2025-10-31 08:02:00
UPDATEGAMES,S2,18ème journée,2025-10-31 08:01:00
CALCULATE,S2,8ème journée,2025-10-28 21:30:00
CHECK,S2,8ème journée,2025-10-28 19:30:00
INIT,S2,9ème journée,2025-10-28 19:15:00
CHECK,S2,8ème journée,2025-10-28 19:00:00
UPDATEGAMES,S2,10ème journée,2025-10-28 08:05:00
CALCULATE,S2,7ème journée,2025-10-24 20:30:00
CHECK,S2,7ème journée,2025-10-24 18:30:00
CHECK,S2,7ème journée,2025-10-24 18:00:00
UPDATEGAMES,S2,13ème journée,2025-10-24 08:02:00
INIT,S2,8ème journée,2025-10-23 18:15:00
CHECK,S2,7ème journée,2025-10-23 18:00:00
UPDATEGAMES,S2,11ème journée,2025-10-23 08:04:00
UPDATEGAMES,S2,9ème journée,2025-10-21 08:05:00
UPDATEGAMES,S2,12ème journée,2025-10-21 08:03:00
CALCULATE,S2,6ème journée,2025-10-18 20:00:00
CHECK,S2,6ème journée,2025-10-18 18:00:00
UPDATEGAMES,S2,8ème journée,2025-10-18 08:05:00
UPDATEGAMES,S2,17ème journée,2025-10-18 08:01:00
CHECK,S2,6ème journée,2025-10-17 18:30:00
INIT,S2,7ème journée,2025-10-17 18:15:00
CHECK,S2,6ème journée,2025-10-17 18:00:00
UPDATEGAMES,S2,10ème journée,2025-10-17 08:04:00
UPDATEGAMES,S2,7ème journée,2025-10-14 08:05:00
UPDATEGAMES,S2,16ème journée,2025-10-14 08:01:00
UPDATEGAMES,S2,7ème journée,2025-10-13 08:05:00
UPDATEGAMES,S2,11ème journée,2025-10-13 08:03:00
CALCULATE,S2,5ème journée,2025-10-11 20:00:00
CHECK,S2,5ème journée,2025-10-11 18:00:00
CHECK,S2,5ème journée,2025-10-10 18:30:00
